Country,Water.quant..Lakes.and.rivers,Water.qual..Lakes.and.rivers.,Alternative.ecosystems,tot.water.stress,agr.water.stress,serv.water.stress,indu.water.stress,total.water.use.effic,agr.water.use.effic,serv.water.use.effic,indu.water.use.effic,safe water,basic water,safe san,basic san,OD,Safe.not.basic..Water,Safe.not.basic.Sanitation,Basic.not.safe.Water,Basic.not.safe.Sanitation,General.Water,general.Sanitation,Hygiene,Wastewater,iwrm
Uganda_total,1,NA,NA,1,1,1,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Ukraine_total,,NA,NA,NA,,,,,,,,,1,,,,1,NA,NA,NA,NA,NA,NA,NA,
United Republic of Tanzania_total,,NA,NA,1,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
United States of America_total,NA,NA,1,NA,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Uzbekistan_total,1,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Vanuatu_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,1,NA,NA,
Venezuela (Bolivarian Republic of)_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,1,NA,NA,NA,
Viet Nam_total,,NA,,1,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Yemen_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,1,NA,NA,NA,NA,
Zambia_total,1,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Zimbabwe_total,NA,NA,NA,,,,,,,,1,,,,,,NA,1,NA,NA,1,NA,NA,NA,
